original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"line_2.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","true","line_10.svg","chart_widget__line_2.svg"
"line_20.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","true","line_16.svg","chart_widget__line_20.svg"
"line_21.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_21.svg"
"line_22.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","true","line_16.svg","chart_widget__line_22.svg"
"line_23.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_23.svg"
"line_24.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","true","line_16.svg","chart_widget__line_24.svg"
"line_25.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_25.svg"
"line_26.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","true","line_16.svg","chart_widget__line_26.svg"
"line_27.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_27.svg"
"line_28.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","true","line_16.svg","chart_widget__line_28.svg"
"line_3.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_3.svg"
"line_4.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","true","line_10.svg","chart_widget__line_4.svg"
"line_5.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_5.svg"
"line_6.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","true","line_10.svg","chart_widget__line_6.svg"
"line_7.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_7.svg"
"line_8.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","true","line_10.svg","chart_widget__line_8.svg"
"line_9.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_9.svg"
"line.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line.svg"
"Solid_Brands_Trello_2.svg","icon","1330","364185a91e915846514c06b84ca891b9327994de301829f573a32c801b7ad5de","false","Solid_Brands_Trello_2.svg","icon__solid_brands_trello_2.svg"
"Solid_Brands_Trello_3.svg","icon","1330","364185a91e915846514c06b84ca891b9327994de301829f573a32c801b7ad5de","true","Solid_Brands_Trello_2.svg","icon__solid_brands_trello_3.svg"
"Solid_Brands_Trello_4.svg","icon","1330","4030bb256c8497f146cd25c5176d3e06ce7fa67f9c377408c97ac0788aefc68d","false","Solid_Brands_Trello_4.svg","icon__solid_brands_trello_4.svg"
"Solid_Brands_Trello.svg","icon","1330","364185a91e915846514c06b84ca891b9327994de301829f573a32c801b7ad5de","true","Solid_Brands_Trello_2.svg","icon__solid_brands_trello.svg"
"Solid_Communication_User_2.svg","icon","784","6fd539209ae65c970fc60d6709311bca58504fe71f45ac57aee4fbe581392362","false","Solid_Communication_User_2.svg","icon__solid_communication_user_2.svg"
"Solid_Communication_User_3.svg","icon","784","6fd539209ae65c970fc60d6709311bca58504fe71f45ac57aee4fbe581392362","true","Solid_Communication_User_2.svg","icon__solid_communication_user_3.svg"
"Solid_Communication_User_4.svg","icon","784","6fd539209ae65c970fc60d6709311bca58504fe71f45ac57aee4fbe581392362","true","Solid_Communication_User_2.svg","icon__solid_communication_user_4.svg"
"Solid_Communication_User.svg","icon","784","6fd539209ae65c970fc60d6709311bca58504fe71f45ac57aee4fbe581392362","true","Solid_Communication_User_2.svg","icon__solid_communication_user.svg"
